year,pib_per_capita
1960,18991.544602592778
1961,19108.935364593854
1962,19965.143575395523
1963,20545.784245394152
1964,21437.584070439523
1965,22526.205514855097
1966,23714.939027843102
1967,24044.56512790199
1968,24948.356898792415
1969,25471.616178651893
1970,25231.127157989195
1971,25734.48283500513
1972,26798.533607119716
1973,28042.55191615269
1974,27637.299774612587
1975,27309.86881693545
1976,28509.143055014105
1977,29528.96636835438
1978,30834.999231754162
1979,31462.10038879385
1980,31081.621634943338
1981,31559.129339422834
1982,30696.083435492783
1983,31810.921609807006
1984,33818.82355136224
1985,34918.13020124073
1986,35794.887774691524
1987,36701.94538753307
1988,37889.37734714661
1989,38911.54189507291
1990,39200.06581124335
1991,38637.83981405718
1992,39447.94728552827
1993,40002.47622528557
1994,41106.98818436795
1995,41710.820724956626
1996,42783.816569782546
1997,44151.686041436675
1998,45596.43068434752
1999,47234.24552752294
2000,48616.25462578004
2001,48597.42461420052
2002,48967.36612011591
2003,49905.52330742365
2004,51348.34733762228
2005,52649.57130546836
2006,53596.31523720002
2007,54152.82926512989
2008,53703.96289612665
2009,51863.61834119228
2010,52821.40476434038
2011,53259.25521385391
2012,54080.22864972149
2013,54844.24257971542
2014,55817.56324719583
2015,57040.20821366048
2016,57658.6708825722
2017,58703.14407801612
2018,60127.21027624589
2019,61400.548154368655
2020,59493.14598201347
2021,62996.289383744435
2022,64342.11793837606
2023,65875.17788143404
